,description
10,"Great for sporting events and outdoor activities. Durable, crack-resistant polyethylene jacket resists scratching, denting, fading, and odors. Extra-thick urethane-based foam insulation has superior thermal retention to keep your drink cool. Inside liner is easy to clean. Made in the USA. Rubbermaid Victory Jug Water Cooler, Orange, 5-gallon (1840999).

Heavy-duty construction resists dents and corrosion. Extra thick insulation keeps beverage hot or cold. Screw tight insulated lid. Interior lid vent for smooth pouring. Fast flow faucet for easy pouring. Attached cup dispenser bracket. Splash seal helps prevent leaks. Ultraviolet inhibitors to resist fading. Meets OSHA requirements.

"
11,"INTEX 58807 Wave Mat Vinyl Assorted

""Wavy"" meets ""groovy"" in the Tote-N-Float Wave Mat, the inflatable air mattress from Intex. Measuring approximately 7.5 feet long and just shy of 3 feet wide, this shimmering blue floating mat features body-contoured ridges and a built-in pillow for laconic liquid lounging. Its durable yet pliable skin allows it to be rolled up while inflated, making after-floating toting virtually ripple-free. --Tony Mason



"
12,
13,"The Franklin Adjustable Soccer Rebounder can be set to return your shots either on the ground or in the air for practicing a variety of skills. The all weather 4-in by 4-in netting features a contrasting color center target zone.

"
14,"This large griddle pan allows your stovetop to act as an expensive backyard grill and sear your meats, poultry, and vegetables over two stovetop burners. Better yet, the nifty griddle is reversible: the raised ribbed side keeps food raised above fatty drippings, while the smooth side is ideal for cooking pancakes and eggs. The cast-iron construction ensures even heat distribution and heat retention, is almost unsurpassed in durability, and is easy to clean.

"
15,"131205 Features: -H2O 12 x 25 mm compact waterproof binocular.-BaK-4 prisms for bright, clear, crisp viewing.-Multi-coated optics for superior light transmission.-Non-slip rubber armor absorbs shock while providing a firm grip.-Twist-up eyecups.-Large center focus knob for easy, precise adjustments.-Longer eye relief. Specifications: -100pct waterproof: O-ring sealed and nitrogen purged for reliable, fog-free performance.

With the Bushnell 12x25 waterproof binoculars, you never again have to worry about ruining your binoculars if you are caught in a downpour on your outing. They are O-ring sealed and nitrogen purged for waterproof, fogproof viewing in any weather. They offer 12x magnification, enabling you to see an expanse of 255 feet at 1,000 yards. They also feature center focusing and fully coated optics.

These compact binoculars are constructed of durable rubber. Designed to be an exceptional value for the outdoor enthusiast on a budget, they work well in unpredictable environmental conditions. Bushnell's 12x25 waterproof binoculars come with a carrying case and a neck strap.

"
16,"The Master Lock 90DSPT Gun Trigger Lock with Key features a steel and zinc body for maximum durability. The protective rubber pads protect gun’s finish from marring or scratching. The Lifetime Guarantee provides peace of mind from a brand you know and can trust. This product is not guaranteed to lock all firearms. It will block access to many guns when properly attached. Some lever action rifles, firearms without trigger guard surrounding the triggers, guns with extra light or extra wide triggers or guns with trigger shoes or extensions may not be able to be effectively locked with this gun lock. Do not use this lock on a loaded gun. Attempts to use on a loaded gun may result in accidental discharge. If the lock does not securely fit your firearm or becomes damaged, do not attempt to continue using this product on your firearm.

Because Kids Find Guns

Providing ways to enhance firearm safety is a major concern. Master Lock's full line of gun locks provides gun owners with an extra measure of security against unauthorized access or tampering by children.

Most gun owners hide their firearms from sight. But no matter how careful they try to be, accidents can still happen. There are numerous instances each year where a gun lock could make a difference.

90DSPT Gun Lock
Every gun owner will be interested in this locking device, which discourages theft and protects valuable guns from tampering. This lock has positive locking with an adjustable ratchet mechanism--the trigger access is blocked until the lock is removed. The lock is easy to attach and lock. It incorporates a pin tumbler locking cylinder and comes with two brass keys. The 1-inch post fits wider trigger guards, and the special cushioned pads protect the gun's finish from being scratched or marred. And keyed-alike convenience means you only have to have one key for all your guns.













"
17,"The Master Lock 94DSPT Set Your Own Combination Gun Lock features a steel and zinc body for maximum durability. The protective rubber pads protect gun’s finish from marring or scratching. The 3 dial combination security offers keyless convenience. The Limited Lifetime Warranty provides peace of mind from a brand you know and can trust. This product is not guaranteed to lock all firearms. It will block access to many guns when properly attached. Some lever action rifles, firearms without trigger guard surrounding the triggers, guns with extra light or extra wide triggers or guns with trigger shoes or extensions may not be able to be effectively locked with this gun lock. Do not use this lock on a loaded gun. Attempts to use on a loaded gun may result in accidental discharge. If the lock does not securely fit your firearm or becomes damaged, do not attempt to continue using this product on your firearm.

"
18,"The 5-Piece Deluxe Throw Down Base set has everything you need to hit the backyard, park, or field and get the game started. Perfect for baseball, kickball and more; this base set has all the components you need to make your field. With three bases, home plate, and a pitcher's rubber, this lightweight portable set lets you bring the game anywhere you go!

"
19,"Ideal for practice field or backyard use, the Franklin Sports MLB Deluxe Rubber Base Set features three outfield bases and a diamond-shaped home plate. Made from institutional grade rubber, these weather-resistant white bases can be used for softball, teeball, and baseball leagues.

"
20,"Thermally fused Fireline provides the ultimate in casting performance, strength and sensitivity for all fishing conditions.

"
21,"With the Canon 2897A002 10x30 IS Ultra-Compact Binoculars delivers outstanding optical performance and stabilization capability at an affordable price. Whether you're upon the water's edge or perched high in the upper deck of a stadium, you'll get a close view of action with this well-contoured Canon offering. A textured rubber coating provides a sure grip as well as a bit of protection from the elements. The center-mounted focus and stabilizer controls are easily accessible for both hands.

Lightweight and powerful, the ultra-compact Canon 10x30 Image Stabilization Binoculars delivers the built-in benefits of Canon's refined and active Image Stabilization. It also features a doublet field-flattener for sharp, distortion-free images from edge-to-edge. Canon's super spectra multi-coating provides superior contrast, as the water-resistant rubber coating ensures secure holding. It also has a long eye relief of 14.5-millimeters for easy viewing.

"
22,"Just like the official game ball of the NFL, the NFL Mini Replica looks worthy of playing on Sundays. But with a durable construction and easy grip and size you can kick-off a game any day.

Every player, every kick and every touchdown in the NFL and countless NCAA Championship games have been with a Wilson football. We know what it takes to play at the highest level, and we know that 70 years of success is just the beginning. We will never stop improving out technologies or innovating our products. We won’t stop tapping into the foresight of legendary players and coaches like Tom Brady or Urban Meyer who help us create truly game changing footballs. We never rest and we never give up because in our games we are never finished and that’s what makes Wilson the first name in football.

"
23,"""12"", classic Red tricycle, Retro styling, sturdy steel construction , steel spoked wheels with real rubber tires, working Bell, double deck rear step, easy assembly, body 31-5/8 x 24-1/2 x 21-5/8, ages 2-1/2 to 5. With its fully retro design, faithfully reproduced down to the smallest detail, this cherry-red, rubber-wheeled tricycle is an undisputed classic. Apparently they do still make them like they used to. The rugged trike features a chrome front fender; a double-deck, step-in back (so kids can climb onto the smooth metal seat in a snap); red-and-white tassels on the rubber-coated handlebars; a 12-inch-high, steel-spoked wheel; and even an old-fashioned bell. Paul Hughes ""

With its fully retro design, faithfully reproduced down to the smallest detail, this cherry-red, rubber-wheeled tricycle is an undisputed classic. Apparently they do still make them like they used to. The rugged trike features a chrome front fender; a double-deck, step-in back (so kids can climb onto the smooth metal seat in a snap); red-and-white tassels on the rubber-coated handlebars; a 12-inch-high, steel-spoked wheel; and even an old-fashioned bell. --Paul Hughes



"
24,"The SOG Specialty Knives & Tools PE14-CP Pentagon Elite I is popular among the military, law enforcement community and general marketplace for it’s balance and high quality construction. Made of VG-10 steel with an attractive bead blasted finish, this premium Japanese steel is specially designed for high-quality blades used in cutlery and known for its durability and maintaining a hardness of Rc 60 without becoming brittle. The 4-inch partially serrated, folding blade has a spear point shape that is ideal for slashing and puncturing. A spear point is a double-edged symmetrical grind with the tip located at the blade's center. The blade of this compact knife provides lightning-quick, one-handed opening and closing capability thanks to the special Arc-Lock on the blade for ambidexterity. The ergonomically contoured and well balanced handle has a black finish and is made of a high strength, abrasion and impact resistant glass-reinforced nylon that will fit comfortably in your hand. A reversible pocket clip extends from the back of the handle, allowing the Pentagon to sit low in your pocket for the most discreet carry possible. This feature can also be used as a money clip. The PE14-CP has a closed length of 4.75-inches, overall length of 8.75-inches, blade thickness of 0.14-inches and weighs 4.3-ounces. The SOG PE14-CP Pentagon Elite I Knife comes with a limited lifetime warranty that protects against defects in manufacturing and materials. Each SOG product is created with the help of company founder and chief engineer, Spencer Frazer. Known for their uncompromising style and performance, these knives and tools showcase innovation, dependability and a unique, futuristic style that has garnered awards and recognition worldwide. SOG products have also won favor among law enforcement, military and industrial customers that rely on their tools to perform flawlessly in the toughest, most adverse conditions.

Since its debut, the Pentagon Elite series has achieved great popularity among the military and law enforcement community, as well as the general marketplace. The Pentagon Elite knives are impeccably balanced and feature ergonomic glass and Kevlar-reinforced Zytel handles, ambidextrous slotted thumb studs, machine screw construction, a low-reflective bead-blasted blade and clip, SOG’s Arc-Lock system, and a reversible military-style clip that enhances gripping. Spearheading the Pentagon Elite is a shark tooth tip that increases point strength.

"
25,"Like the men and women who carry our gear, Gerber is Unstoppable. Decades of innovation and dedication have put us here. Renowned as a master of knives and tools, Gerber's problem-solving, life-saving products are designed with the unique needs of specific activities in mind. Today that includes much more than a blade.

The Gerber Multi-Plier 600 Pro Scout Needle-Nose Multi-Plier with Tool Kit and Sheath features a one-handed plier opening for ease of use. No handle rotation or gyrations are necessary to open the Pro Scout -- just a flick of the wrist slides the plier jaws into the locked and ready position. The locking system is safe and easy to use with components locking up against a solid bar of steel, rather than a spring. It also features independent tool rotation, allowing access to components you want without other tools following it out. The multi-plier includes wire cutters, wire crimper, serrated knife, RemGrit saw with universal saw coupler, Fiskars scissors, cross point screwdriver, small flat blade screwdriver, medium flat blade screwdriver, can opener, bottle opener, file, and ruler. The multi-plier comes with a limited lifetime warranty.

What's in the Box
Multi-plier and sheath.



"
26,"Gator, lightweight folding knife, 3-3/4"" folding stainless blade, lightweight krayton handle, clip pt. With nylon sheath, fine edge, safety focused design features a lock back mechanism that keeps the blade securely in place while in use, 8.5"" closed length, boxed.

Loaded with high-end professional features, the Gerber 06069 Gator Folding Knife has a thermoplastic grip that mimics an alligator's skin texture to deliver an amazingly secure, reliable, and comfortable hold. This folding knife with a fine edge and clip point can withstand any kind of weather, no matter how harsh, making it ideal for the outdoor enthusiast.



Textured Handle for a Better Grip
The Gator Folder employs advanced thermoplastics and features a glass filled nylon handle with an alligator skin texture to provide an incredibly reliable, supremely comfortable grip. The feel of the reptile scales keeps your grip secure, whether you're hunting, rock climbing, camping, or fishing.

Durable Steel Construction in a Lightweight Design
Built to be rugged, the Gator Folder boasts a durable 420HC stainless steel blade and a dependable lock-back mechanism for safety.

For added convenience, the knife arrives with a sturdy nylon sheath. And with a length 8.5 inches, blade length of 3.76 inches, and a weight of 5.4 ounces, the Gator Folder is compact enough to toss into a bag or backpack or to slip into your pocket, so it's easily accessible when you need it.

The Gator Folder is backed by a limited lifetime warranty.

About Gerber: A History of Innovation
Savvy. Moxie. Craftsmanship. Attention to detail. These are just a few of the company traits that have contributed to Gerber's emergence as a world leader in outdoor gear. Joseph Gerber started Portland, Oregon's Gerber Advertising back in 1910, and one Christmas, he hired a local knife-maker to craft 25 sets of kitchen cutlery as client gifts. The knives were so popular Mr. Gerber ultimately left his agency to launch Gerber Legendary Blades in 1939.

It makes sense, really. An idea man gets the idea of a lifetime and turns it into a major outdoor brand--one that commands respect among knife lovers and knife makers alike. And now that same high regard is spreading in new directions, in the form of many outstanding products such as tools, personal L.E.D. lighting, and more.

What's in the Box
Gator Fine Point Folding Knife and nylon sheath.







"
27,"

When Gerber debuted their line of Gator folding knives in 1991, they were voted ""Most Innovative Knife of the Year"" at the Blade Show. The handle is made of glass-filled nylon and it’s covered with a rubberized alligator skin texture for a tacky, comfortable grip. The lock-back clip point blade has a serrated edge and is forged from 420HC stainless steel. Sheathed in a heavy-duty nylon case, the Gator is still one of Gerber’s most popular folders.

Like the men and women who carry our gear, Gerber is Unstoppable. Decades of innovation and dedication have put us here. Renowned as a master of knives and tools, Gerber’s problem-solving, life-saving products are designed with the unique needs of specific activities in mind. Today that includes much more than a blade.

Founded in 1939 and based in Portland, Oregon, USA, Gerber is an American brand whose products have global reach and relevance. Carried extensively by hunters, soldiers and tradesmen, Gerber’s heritage runs deep. And we are now looking toward the future, where tomorrow’s problems will be solved by the next generation of innovations. All Gerber products are designed and engineered in Portland, OR where many are produced; including the Gerber Gator. We also tap our global supply chain to create a wide range of activity specific gear for wide variety of consumers. And no matter what, every product that bears the Gerber name is backed by our famous lifetime warranty.

When Joseph R. Gerber described his young knife company, Gerber Legendary Blades, as the, “birth of an enterprise that grew into big business,” it was true, but it was an understatement for sure. What had started out in 1939 as a small batch of handmade cutlery sets given as holiday gifts had turned into thousands of retail accounts around the country. By 1960, Gerber had quickly become one of the most trusted, appreciated and collected names in knives.

Over 70 years since its founding and Gerber continues to grow. Still grounded in the same principles that first guided Joseph R. Gerber’s “enterprise,” Gerber is a company dedicated to making knives and tools that combine high quality materials and innovative designs that will stand up to a lifetime of use. The sleek, stainless steel sheath knives of the ’50s and ’60s (the Magnum Hunter) have given birth to today’s lightweight, open-frame clip folders (the Remix). Gerber is, however, no longer just a knife company. Multi-tools, axes, handsaws, machetes, headlamps, flashlights, survival kits, digging implements - these are the newest directions that Gerber explores with the same standards of quality and design that inform their revered knife making.



The Gerber Gator Folding Clip Point Serrated Edge Knife features a unique thermo plastic comfort grip handle designed to offer maximum grip in both dry and wet conditions. The knife also features a drop-point blade with a convex curve bending towards the point of the blade that offers an ample amount of effective edge for slicing, making it an ideal choice as a hunting knife. The knife locks open for safety, comes with a limited lifetime warranty, and includes a black Cordura belt sheath.



"
28,"Like the men and women who carry our gear, Gerber is Unstoppable. Decades of innovation and dedication have put us here. Renowned as a master of knives and tools, Gerber's problem-solving, life-saving products are designed with the unique needs of specific activities in mind. Today that includes much more than a blade.

E-Z Out knives from Gerber are E-Z to access, E-Z to open, and E-Z to use. The handle features molded Kraton rubber inserts, providing a positive and comfortable grip during use. Plus, the low-profile oval hole in the blade allows one-handed opening, yet keeps the blade shape unobtrusive for everyday use. This full-size knife will clip easily to your pocket or belt, so it can be carried in any situation. The pocket clip is stainless steel, removable, and replaceable. 3.5-inch blade length. 8-inch open length.

"
29,"16 3/4"" overall. 12"" rod. Fine grit sharpening rod. Black plastic handle with hand guard and hanger ring.

12"" Diamond Steel. Fast honing diamond surface with the realigning function and convenience of traditional butcher's steel. A diamond sharpening rod with sanitary black plastic handle with large guard and color coded ring for easy grit designation and hang-up. Fine diamond (25 micron / 600 mesh) for a razor sharp edge. Rod: 12” x .375” (304 mm x 10 mm) Sharpening with diamonds is fast and easy. No messy oils needed—sharpen dry or with water. Durable construction will provide years of consistent performance and reliable service For proper tool maintenance, woodworkers, chefs and other professionals rely on the superior quality and versatility of DMT products. Made in USA.

"
30,"Red, fine grit. 2 3/4"" x 1"" sharpening surface. Plastic cover snaps shut for carrying and snaps open for sharpening. Includes keyring. Compact and convenient.

Diamond Mini-Sharp Sharpener - a Diamond Whetstone that travels with you. Folding handle protects the stone when not in use. Lightweight and ultra portable, handy key chain swivel ring for your keys or attach to zipper pulls or backpacks. Fine diamond (25 micron / 600 mesh) for a razor sharp edge. Handy Size: 5 ½opened. Size: 2 11/16"" x 15/16"" x 3/16"". Sharpening with diamonds is fast and easy. No messy oils needed--sharpen dry or with water. Durable construction will provide years of consistent performance and reliable service For proper tool maintenance, woodworkers, chefs and other professionals rely on the superior quality and versatility of DMT products. Made in USA.

"
31,"Micron sized monocrystalline Diamonds are securely bonded in nickel that is electroplated to precision ground steel. An injection molded polycarbonate base increases the structural rigidity needed to maintain a flat sharpening surface.The innovative pattern of the recessed dots is key to the DMT difference. By providing a space into which metal fines produced from sharpening can be cleared, the dots keep the diamond surface clean for fast and efficient hone of all materials.Individual sizes: 2.75"""" x 1"""" x .25

A portable enhancement to any tool kit is the Mini Diamond 70mm stone in DMT's signature polka-dot pattern. Kit of 3 comes in Coarse (45 micron / 325 mesh) to quickly restore a neglected edge; Fine (25 micron / 600 mesh) for a razor sharp edge; Extra-Fine (9 micron / 1200 mesh) to polish and refine a razor edge after sharpening with a coarser diamond. Size: 2 11/16 x 15/16 x 3/16 Sharpening with diamonds is fast and easy. No messy oils needed--sharpen dry or with water. Durable construction will provide years of consistent performance and reliable service For proper tool maintenance, woodworkers, chefs and other professionals rely on the superior quality and versatility of DMT products. Made in USA.

"
32,"Fine grit on one side, extra fine on the other. Diamond whetstone. 4 3/8"" x 7/8"" sharpening surfaces. Clear folding handle doubles as sheath. Hang packaged.

Dual purpose with compact convenience, the Double Sided Diafold sharpener offers two 4"" x 1"" diamond whetstone surfaces in one lightweight, portable sharpener. Multi-use on blades, kitchen knives, specialty and garden tools, etc. Extra-Fine diamond (9 micron / 1200 mesh) to polish and refine a razor edge after sharpening with a coarser diamond. Fine diamond (25 micron / 600 mesh) for a razor sharp edge. Convenient size: 9 1/2"" open. 5"" closed. Folding plastic handles protect sharpener when not in use. Sharpens in a fraction of the time required by conventional stones. No messy oils needed--sharpen dry or with water. Durable construction will provide years of consistent performance and reliable service For proper tool maintenance, woodworkers, chefs and other professionals rely on the superior quality and versatility of DMT products. Made in USA.

"
33,"This DuoSharp base holds DMT stones securely in place and elevates them off the work surface for more accuracy and comfort.

Amazon.com
The DMT B8250 DuoSharp DuoBase Bench Stone Base is a must-have accessory that makes it a breeze to sharpen by providing a safe, convenient, and reliable place to mount any DMT DuoSharp stone while sharpening an edge. Its smart, innovative design allows for safe sharpening by providing a full two inches of knuckle clearance, and its durable construction ensures years of consistent performance.

DuoBase Bench Stone Accessory can be used with all DuoSharp Bench Stones or any 6"" x 2"" stone. Provides 2"" knuckle clearance for ease of use. Rubber feet secure the base and stone to the work bench or counter. Features a convenient handle on the underside for moving the stone over a large work piece for maximum versatility. Durable construction will provide years of consistent performance and reliable service For proper tool maintenance, woodworkers, chefs and other professionals rely on the superior quality and versatility of DMT products. Made in USA.

"
34,"Mylec's deluxe folding goal set features high impact PVC tubing and sleeve netting for easy assembly. Set includes 2 sticks, one ball and one goal. Folds for easy storage.



Mylec's Deluxe Hockey Goal Set features a durable goal made of high-impact PVC tubing and sleeve netting and game-play accessories. The folding goal is easy to store and carry and assembles quickly to get your game going in moments. The set comes ready for one-on-one play with two 43-inch Jet Flo sticks with blades and one no-bounce hockey ball. The goal measures 48 by 37 by 18 inches (WxHxD).



"
35,
36,"EVERYDAY SUPERHERO
Compact enough to fit in your pocket or attach to your keys, the 2¼"" Classic SD is the epitome of a Swiss Army Knife; foldable, versatile and always there when you need it. Featuring 7 popular implements, stainless steel construction and Swiss-Made precision, the Classic SD is the perfect companion for everyone.

FEATURES 7 FUNCTIONS:



From the renowned company that created the Swiss Army knife a century ago comes this classic version of the pocket knife. It contains six tools that put life in order again when they're needed. Measuring just 2-1/4 inches long--less than a pack of gum--and sheathed in translucent blue plastic, the Classic pocket knife is a toolbox and manicure kit small enough to fit into a pocket. (It also comes with a key ring.) Stainless-steel tools contained inside are a knife blade, scissors, a nail file with a screwdriver tip, a removable plastic toothpick, and removable tweezers. --Fred Brack

"
37,"History and Heritage - In 1884, Master Cutler Karl Elsener opened a cutlery shop in Ibach, Switzerland. There, he and the cutlers' union he formed produced the finest steel cutlery, finished with the now-famous proprietary edge preferred globally by professional and home cooks. In 1891, Karl supplied the Swiss Army with its standard issue Soldier's Knife and in 1897 with the Officer's Knife. In 1921, after the death of his mother, Victoria, and with the advent of stainless steel, then known as ""inoxydable"" and used in the production of his cutlery, Karl changed the name of the company to Victorinox. It is from those humble beginnings that a worldwide icon was born. Today, Victorinox is still owned and operated by the Elsener family, and both the company and family still resides in the small village of Ibach, Switzerland.

A terrific gift for a man or a woman, this sleek credit-card-size tool and manicure kit comes from the renowned company that created the Swiss Army knife a century ago. This innovative adaptation of the outdoorsman's pocket knife, however, is designed for 21st-century urbanites. It slips into a wallet, purse, or personal organizer or fits unobtrusively in a vehicle glove compartment. The card contains nine stainless-steel tools that slide out of a sleek translucent-plastic holder. The tools include a letter opener, scissors, ballpoint pen, nail file, screwdriver, tweezers, plastic toothpick, needle, and ruler. The card measures just 3-1/4 inches long, 2-1/6 inches wide, and 1/5-inch thick. A fine example of Swiss engineering precision, the entire kit weighs less than 1 ounce. The card carries a lifetime warranty against defects. --Fred Brack

"
