,description
26,"

One Facial Sponge

For daily cleansing of sensitive skin.

Thoroughly cleans and refreshes your skin.
Use every day with your favorite cleanser. 

Perfect Prep for Sunless Tanning!

Leaves skin feeling clean and refreshed!

Choose the sponge that makes your face look and feel its best:



Made in USA



"
27,"INDICATIONS:3M Buf-Puf Facial Sponge, Regular, 1 EaBuf-Puf Facial Sponge For deep cleansing. Thoroughly cleans and refreshes your skin. Use every day with your favorite cleanser. Perfect Prep for Sunless Tanning! Leaves skin feeling clean and refreshed. Use every day with your favorite soap or cleanser. Lifts off dry, dulling skin cells. Gently cleanses away makeup, dirt and excess oil. Leaves skin smooth and soft, perfectly prepped for moisturizers, makeup and sunless tanning. Dermato

"
28,"Clean & Clear Essentials Dual Action Moisturizer treats and prevents pimples while moisturizing skin. Specially formulated for acne-prone skin, this facial moisturizer features an oil-free formula that is ideal for all skin types. It works to provide clearer, healthier-looking skin without over-drying and is made with salicylic acid, an acne medication that targets existing pimples while preventing new breakouts from forming. This acne face moisturizer is suitable for everyday use and is recommended as part of a 3-step skincare routine with Clean & Clear Essentials Foaming Facial Cleanser and Essentials Dual Action Moisturizer.

"
29,"OntheSpot Acne Treatment is a spot acne treatment that provides maximumstrength results without drying out your face. It goes deep down in pores to kill the acne bacteria that cause pimples and helps stop new ones from forming. Some medicated spot treatments contain high doses of Benzoyl Peroxide that can irritate skin, causing redness and dryness that can make acne worse. OntheSpot Acne Treatment contains just 2.5% Benzoyl Peroxide, yet it provides the same maximum level of effectiveness with 70% less irritation. Fight acne and get maximumstrength results with an acne spot treatment that won't dry out your face.

By Neutrogena

"
30,"This water-based moisturizing formula filters both UVA and UVB rays and provides the SPF 15 protection recommended by dermatologists. Purpose Dual Treatment Moisture Lotion with SPF 15 is a gentle, non-greasy formula offering daily protection against incidental sun exposure and over time helps prevent the signs of premature aging, helping to keep your skin soft, even-toned, and healthy looking.Purpose Dual Treatment Moisture Lotion with SPF 15 absorbs quickly for long-lasting, all day moisturization and is gentle enough to use every day, even for sensitive skin care.

"
31,"Stridex Maximum Pads have the highest level of acne-fighting medicine allowed in a non-prescription formula (2% salicylic acid) and are recommended for cases of moderate acne. Max Pads have effective skin cleansers that work to remove dirt, oil, and sweat from the surface of the skin. The medication penetrates to unclog pores and dissolve deep-down oil. They even remove what soaps and face washes leave behind! Completely alcohol-free for acne-fighting effectiveness without the burn. Continues working between uses.

"
32,"Deep cleans + refreshes. 100% Oil-free and soap-free gel with gentle botanicals foams away makeup, dirt and pollution fast for clean refreshed skin. This clearly invigorating foaming face wash dissolves away dirt and makeup. 100% Oil-free and soap-free. Gentle botanicals clean and clarify. Refreshing mint, purifying lemongrass and soothing aloe leave skin simply clean, simply glowing. Just right for normal to oily skin.

"
33,"antibacterial bar is a non-soap formulation that's milder than antibacterial soaps. It's designed especially for cleansing dry, sensitive skin and is ideal for bath or shower use. Non-comedogenic so it won't clog pores. Contains no harsh ingredients that might dry or irritate the skin.

"
34,"This pure and gentle, non-comedogenic cleansing formula contains special non-drying ingredients to deep clean and remove excess dirt and oil that may cause blemishes and acne. For clean, clear healthy-looking skin.

"
35,"Dermatologist recommended. Oil-free. Hypoallergenic. Won't clog pores. Gentle Cleansing: This mild, effective lathering bar removes dirt and oil without over-drying. It Won't Clog Pores: Unlike some beauty bars, Purpose Gentle Cleansing Bar is 100% oil-free and non-comedogenic so it wont clog pores or leave residue. Hypoallergenic: Even those with sensitive skin can use it twice a day for a healthy looking, healthy feeling complexion.

"
36,"OFFICIAL SKI TEAM SKIN CAREFruit of the Earth. ADVANCED RESEARCH Proudly Presents 100% PURE ALOE VERA GEL

"
37,"

10% AHA Anti-Wrinkle Treatment

Recommended For:  All Skin Types Except Delicate/Sensitive Skin.

Oil-free.  Fragrance-free.  Effective pH 4.





"
38,"Non-drying formula gently cleanses away makeup, dirt and environmental pollutants. Leaves skin soft, smooth and at the proper pH level to assure optimum results when used in conjunction with Alpha Hydrox AHA treatment products.

"
39,"Significantly reduces the appearance of fine lines, wrinkles, forehead creases, crow's feet, laugh lines and more. With 10% Glycolic AHA at an effective pH of 4, Alpha Hydrox Enhanced Lotion effectively and safely lifts dead cells from the skin's surface, helping to restore younger, healthy, more radiant-looking skin.

"
40,"Our unique anti-aging gel is specially formulated with the optimal balance of 10% Gycolic Alpha Hydroxy Acid (AHA) and a ph level of 4.0 It is also without of parabens and fragrances.

"
41,"Gentle, hydrating lotion leaves skin feeling soft and balanced

"
42,
43,"Cetaphil Moisturizing Cream for Dry, Sensitive Skin. Cetaphil Moisturizing Cream was formulated specifically for chronic dry, sensitive skin. Contains a superior system of extra-strength emollient and humectants, clinically proven to bind water to the skin and prevent moisture loss. Provides long-lasting relief to even severe dry skin. Free of lanolins, parabens and fragrances that can irritate sensitive skin. Non-comedogenic

"
44,"CETAPHIL cleanser was formulated for dermatologists as a gentle, non-irritating cleanser for even the most sensitive skin. Unlike soap, CETAPHIL is completely non-alkaline, non-comedogenic, and fragrance free. Soothes and softens as it cleanses, helping the skin retain needed moisture. Use for face, hands, and the entire body. Also an excellent cleanser for the delicate skin of babies

"
45,"Softens As It Cleanses.

CETAPHIL ; cleanser was formulated for dermatologists as a gentle, non-irritating cleanser for even the most sensitive skin. Unlike soap, CETAPHIL is completely non-alkaline, non-comedogenic, and fragrance free. Soothes and softens as it cleanses, helping the skin retain needed moisture. Use for face, hands, and the entire body. Also an excellent cleanser for the delicate skin of babies.

"
46,"

Softens As It Cleanses.

CETAPHIL® cleanser was formulated for dermatologists as a gentle, non-irritating cleanser for even the most sensitive skin. Unlike soap, CETAPHIL is completely non-alkaline, non-comedogenic, and fragrance free.  Soothes and softens as it cleanses, helping the skin retain needed moisture. Use for face, hands, and the entire body. Also an excellent cleanser for the delicate skin of babies.



"
47,"Dermatologist recommended ; CONTAINS PHOSPHOLIPIDS: which restore and maintain natural moisture balance in dry, sensitive skin, COMPLEX 15 Therapeutic Moisturizing Face Cream: Formulated for mild to severe dry skin with a system modeled from nature. Contains lecithin, a phospholipid water-binding agent found naturally in the skin. Nongreasy and absorbs quickly into the skin. Unscented, contains no parabens, lanolin or mineral oil. Proven to be hypoallergenic, noncomedogenic, and fragrance-free.

"
48,"

with broad spectrum sunscreens enhanced with Avobenzone (Parsol 1789)

also contains Hyaluronic Acid

Sun Alert:  Limiting sun exposure, wearing protective clothing and using sunscreens, may reduce the risks of skin aging, skin cancer and other harmful effects of the sun.



"
49,"Contains Dimethicone for velvety-soft skin Rich formula absorbs easily, never feels heavy or greasy Non-comedogenic formula won’t clog pores or cause break-outs Hypoallergenic and unscented for everyday use High-performance hydration for softer skin.

"
50,"Minimize the look of the signs of skin aging with Neutrogena Healthy Skin Anti-Wrinkle Retinol Cream with a multi-vitamin complex (Vitamin E and Vitamin A) and SPF 15 sunscreen. Formulated with special moisturizers, Provitamin B5, vitamin E and vitamin A, this daily wrinkle cream moisturizes for softer, smoother skin. It also provides Broad Spectrum SPF 15 sunscreen protection against UVA/UVB rays and helps minimize premature signs of skin aging, such as fine lines, wrinkles, and dark spots caused by exposure to the sun's damaging rays. This anti-wrinkle moisturizer is clinically proven to help reduce the appearance of fine lines, wrinkles, and other signs of aging. Its unique formula also contains retinol, a dermatologist-recommended ingredient for aging skin, which works deep within skin's surface. Add this daily facial moisturizer to your at-home skincare routine. It absorbs quickly and is oil-free, fragrance-free, alcohol-free and hypoallergenic, so it won't clog pores.

By Neutrogena

"
51,"Pamper your skin with Neutrogena Body Oil, a sheer moisturizing experience. This lightweight body oil is made with a delicate sesame formula that vanishes into the skin providing essential hydration for dry skin. While your skin is still damp after a shower or bath, smooth on a few drops of body oil. In the bath, add to water to soften your skin while you bathe. This moisturizing body oil absorbs quickly and leaves skin feeling soft and silky.

By Neutrogena

"
52,"Neutrogena Oil Free Facial Moisturizer for Sensitive Skin is a lightweight, water based moisturizer that is clinically proven to provide gentle yet effective moisturization for even the most sensitive skin. Its unique formula absorbs quickly into skin, eliminating dryness without leaving skin greasy or shiny. Made for sensitive skin, this gentle moisturizer contains no fragrances, dyes, or alcohol.Active ingredients : Avobenzone (1.5 percent), Octisalate (5 percent), Octocrylene (3 percent), Oxybenzone (4 percent)

By Neutrogena

"
53,"Enjoy softer, smoother skin overnight with Neutrogena Light Night Cream. This light yet effective night cream provides an immediate surge of moisture and continues to provide increased moisturization to skin for eight hours. The Dermatologist Recommended formula is hypoallergenic and free of fragrances and drying alcohol. This fast-absorbing cream is non-comedogenic, and won’t clog pores, which can cause breakouts.

By Neutrogena

"
54,"Lubriderm intense skin repair lotion, helps repair rough, dry skin, with hydra release technology, clinically proven to moisturize for 24 hours, strengthens skin's moisture barrier. We believe everyone deserves to have healthy, comfortable skin. Lubriderm, the brand developed by dermatologists, offers specialized formulations with essential nutrients naturally found in healthy skin.

"
55,"The perfect daily moisturizer provides a base of hydration that lasts all day. Olay Complete All Day Moisturizer with Broad Spectrum SPF 15 - Normal is a lightweight moisturizing lotion that will leave your skin with a healthy-looking, beautiful appearance every day. 100% oil-free and PABA-free, it contains sunscreen Broad Spectrum SPF 15 and SolaSheer Technology to protect against UVA/UVB rays. This moisturizer conditions your skin&rsquo;s surface with antioxidants (vitamins E, B3 and C), providing 48 hours of moisture. Designed for normal skin by Olay skin experts, it helps prevent premature skin damage. Plus it&rsquo;s non-comedogenic, so it won't clog your pores. Taking care of your skin is simple, and Olay Complete All Day Moisturizer with Broad Spectrum SPF 15 - Normal has the daily dose of moisture your skin needs to maintain its everyday beauty.

"
56,"Protect against the #1 cause of aging skin - damage from the sun. Recommended by the Skin Cancer Foundation, Olay Complete Daily Moisturizer with Broad Spectrum Sunscreen SPF 15 Facial Moisturizer, with UVA/UVB protection, provides 8 hours of hydration for sensitive skin. This gentle, lightweight lotion is now formulated with Vitamin E Antioxidant Complex to help protect skin's surface from damaging free radicals. Plus, its fragrance-free formula features aloe and zinc oxide for healthy-looking skin. Unlike many facial moisturizers with sunscreen, Complete All Day facial moisturizer with SPF is non-greasy and lightweight. Its oil-free formula leaves skin with a healthy glow. With its proven SolaSheer Sensitive Technology, experience hydration with sun protection from America's #1 UV moisturizer, based on P12M Nielsen xAOC unit sales.

"
57,"Dissolves all traces of makeup and moisturizes for soft radiant skin Here at Pond’s, we believe that skin care doesn’t need to be complicated or time-consuming with several different products. The perfect blend of oil and water, our Cold Cream Cleanser, has been a classic beauty essential since 1907. It has withstood the test of time to become an iconic skincare product, used by generations of women. Unlike ordinary cleansers, Pond’s Cold Cream is actually 50% moisturizer. This facial cleanser combines deep cleansing with face moisturizer to remove dirt, makeup and even stubborn waterproof mascara, while infusing your skin with vital moisture for soft and smooth skin (without drying your skin) - all in one easy routine. Essential ingredients: Mineral Oil-effectively removes makeup from skin’s surface. Beeswax-a moisturizer known to prevent moisture from leaving the skin If you’re new to this beauty secret, using Cold Cream Cleanser is easy! Apply a thin layer of Pond’s Cold Cream Cleanser gently to skin, remove by wiping with cotton pads or wet washcloth, and rinse if desired. Today, with women balancing work, family and everything else that comes their way, Pond’s Cold Cream remains more relevant than ever as it has multiple benefits in one, a makeup remover and moisturizing face cleanser. Pond’s Cold Cream Cleanser, removes even the toughest makeup and works great as an eye makeup remover as well as for your full face, while leaving your skin soft and smooth. Try now and rediscover the beauty of classic skin care!

"
58,"Suave Professionals Deep Moisture Shampoo and Conditioner, enriched with panthenol and keratin serum, replenish your hair's moisture. When used together, these shampoo and conditioner formulas boost your hair's moisture by 7x* (*vs. non conditioning shampoo) without weighing hair down. Enjoy a nourishing experience for your hair every time you wash. This moisturizing Suave shampoo and conditioner can be used daily and will leave hair feeling soft, manageable and full of luster. Suave Professionals Deep Moisture Shampoo & Conditioner have been salon proven to moisturize as well as Paul Mitchell Instant Moisture. For best results use, Suave Professionals Deep Moisture Shampoo and Conditioner together. Achieve Salon-Quality Results Suave Professionals is salon-proven to work as well as salon brands, helping you achieve a variety of beautiful hairstyles while caring for your hair. This line is developed to help you achieve naturally gorgeous, healthy-looking locks. About Suave For over 75 years Suave has offered professional quality products for the entire family, which are proven to work as well as salon brands. The Suave mission is to make gold standard quality attainable to all, so everyone can look good, smell good, and feel good every day. (Paul Mitchell and Instant Moisture are registered trademarks of John Paul Mitchell Systems).

"
59,"Coty Airspun loose face powder, naturally neutral, improves appearance of face provides long wearing, flawless finish to set makeup spreads finely, lying evenly and flat on skin for flawless finish, particles are swirled smoothed by racing streams of air conceals blemishes.

"
60,"New in Original Retail Box, as made by Max Factor.

"
61,"Intensified Day Moisture SPF 15 combines long-lasting moisturization for dry skin with effective sun protection. This lightweight, dermatologist-tested cream provides an immediate surge of moisture. Dry skin is moisturized for 12 hours, even under makeup. This PABA-free formula also provides SPF 15 sun protection. It helps prevent premature signs of aging caused by the sun's damaging UVA and UVB rays.

"
62,"Neutrogena extra gentle cleanser more than just gentle cleansing. Neutrogena extra gentle cleanser provides more than just gentle cleansing for even the most sensitive skin. Every time you cleanse, its nonstop formula adds back moisture so skin retains resiliency and suppleness. Rich and nonirritating, it leaves skin more moisturized without a filmy residue that can clog pores.

"
63,"Neutrogena Deep Clean cleans so deeply and thoroughly that it improves the look and feel of skin. Skin is left cleanwith no poreclogging residue. Your complexion looks fresh and healthy; feels smooth and soft from deeper, more thorough cleansing. This effective face wash contains a hydroxy acid which penetrates deep into pores, dissolving dirt, oil and makeup. It also removes dead surface skin cells that can dry, roughen and dull your complexion. Softer, fresher skin will emerge.

"
64,"Awaken your senses with Neutrogena Rainbath Refreshing Shower and Bath Gel, featuring the original fragrance blend of spices, fruits, and herbs. This best-selling shower and bath gel softens and conditions skin without leaving behind heavy residue. The rich, moisturizing lather of this cleansing shower gel rinses clean and helps leave skin feeling softer, smoother, and refreshed. You can smooth it on your body using moistened hands, a puff, or a washcloth, or you can add it to your bath or use it as a skin-smoothing shaving gel. Turn your ordinary shower in a pampering spa experience!

By Neutrogena

"
65,"Almay Thickening Mascara builds a brilliant look with 100% thicker lashes when applying 2 coats of 25 strokes each. Pamper your lashes as you thicken – no clumps, flakes, or smudges! This hypoallergenic formula is ophthalmologist tested to be suitable for sensitive eyes and contact lens wearers, and it washes off easily with Almay eye makeup remover. Pair this thickening mascara with your favorite Almay eyeliner for the ultimate head-turning look. Hypoallergenic. Ophthalmologist tested. Dermatologist tested. Almay - Quality ingredients. American science.

Hypo-Allergenic. 100% Thicker lashes. Double size lashes in one clump-free coat. Non-smudging. Non-flaking. Suitable for contact lens wearers. Volumizing formula builds lashes double thick in one quick, smooth, clump-free application. Specially designed Quick Coat Brush wraps mascara evenly around every lash as it separates for a full, lush, high-volume look. Lashes feel conditioned and cared for--no clumps, flakes or smudges. Fragrance free. Non-irritating. Ophthalmologist, clinically, dermatologist and allergy tested.

"
66,"Hypo-allergenic. Fragrance free. Opthamologist tested. With ALOE, CUCUMBER & GREEN TEA. Oil-free pads gently remove eye makeup in one easy step with no greasy mess. Hydrates and soothes skin. Your lashes will feel soft and beautifully conditioned. Perfect for contact lens wearers. This bonus pack has 100 pads, which is a 25% bonus over the usual 80 count.

"
67,
68,"Jergens moisturizing liquid hand wash pump with the classic cherry almond scent. Formulated with mild cleansers and soothing moisturizers, smoothes rough, dry skin as it cleans and moisturizes, leaving hands smelling fresh and looking beautiful.

"
69,"Q-tips cotton swabs are the Ultimate Home and Beauty Tool. With the most soft cotton at the tip from the end of the stick to the top of the swab and a gently flexible stick, Q-tips cotton swabs are perfect for a variety of uses. Different uses for our cotton swabs include beauty (apply or remove eyeliner & eye-shadow), baby care (delicately care for sensitive areas), home & electronics (clean and dust hard-to-reach spaces), and first aid (gently apply ointments and creams). Our paper sticks are sourced from sustainable forests. Q-tips cotton swabs are biodegradable when composted and our packaging is recyclable. Q-tips cotton swabs are made with 100% pure cotton. The “Q” stands for Quality, something we’ve stood by since our founding by Leo Gerstenzang in 1923. We’re proud of our history, commitment to the environment, and legacy of softness and quality. Today, Q-tips cotton swabs are the leading cotton swab brand and have been trusted for superior quality, versatility, and value for more than 85 years. Our swabs are light and portable, which makes them perfect for on-the go. Make sure to try our other products including Q-tips Precision Tips & Q-tips Anti-Microbial Cotton Swabs. We’re also thrilled to announce our Q-tips Beauty Rounds, a premium quality cotton pad for a wide range of beauty needs.

"
70,"With Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by cutting-edge fashion, Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades – no appointment necessary. The revolutionary Power Shimmer Conditioner hydrates and conditions week after week so hair is never wrecked or ravaged.

By L'Oreal Paris













"
71,"Soften your hair while protecting it from damage with Aussie Hair Insurance Leave-In Conditioner Spray. Brushing and styling your hair can make it more prone to damage like breakage and split ends; this leave-in conditioner spray instantly works as a shield to protect your precious 'do from damage while leaving your hair smelling like a rich blend of California orange, radiant grapefruit and succulent lime. Use just a few spritzes after a shower on damp hair to tame those wild locks and make them easier to brush. A healthier 'do and softer style at the same time? That sounds like a win-win!

"
72,"Suave Professionals Deep Moisture Shampoo and Conditioner, enriched with panthenol and keratin serum, replenish your hair’s moisture. When used together, these shampoo and conditioner formulas boost your hair’s moisture by 7x* (*vs. non conditioning shampoo) without weighing hair down. Enjoy a nourishing experience for your hair every time you wash. This moisturizing Suave shampoo and conditioner can be used daily and will leave hair feeling soft, manageable and full of luster. Suave Professionals Deep Moisture Shampoo & Conditioner have been salon proven to moisturize. For best results use, Suave Professionals Deep Moisture Shampoo and Conditioner together. Achieve Salon-Quality Results Suave Professionals is salon-proven to work as well as salon brands, helping you achieve a variety of beautiful hairstyles while caring for your hair. This line is developed to help you achieve naturally gorgeous, healthy-looking locks. About Suave For over 75 years Suave has offered professional quality products for the entire family, which are proven to work as well as salon brands. The Suave mission is to make gold standard quality attainable to all, so everyone can look good, smell good, and feel good every day.

"
73,"

Suave Naturals shampoos and conditioners deliver long-lasting, nature-inspired fragrances. All Suave Naturals shampoos and conditioners are gentle enough to care for the whole family.

Did you know that your family could save up to 3,200 gallons of water per year by turning off the water when you shampoo and condition?*

Suave Naturals Daily Clarifying Shampoo, 22.5 Ounces.

*Average family size of 3.



"
74,
75,"Suave® Naturals Sun-Ripened Strawberry Shampoo Family Size.
Longer lasting fragrance*.
Infused with strawberry extract and vitamin E.
Hypo-allergenic.

"
76,"Suave Professionals Deep Moisture Shampoo and Conditioner, enriched with panthenol and keratin serum, replenish your hair's moisture. When used together, these shampoo and conditioner formulas boost your hair's moisture by 7x* (*vs. non conditioning shampoo) without weighing hair down. Enjoy a nourishing experience for your hair every time you wash. This moisturizing Suave shampoo and conditioner can be used daily and will leave hair feeling soft, manageable and full of luster. Suave Professionals Deep Moisture Shampoo & Conditioner have been salon proven to moisturize as well as Paul Mitchell Instant Moisture. For best results use, Suave Professionals Deep Moisture Shampoo and Conditioner together. Achieve Salon-Quality Results Suave Professionals is salon-proven to work as well as salon brands, helping you achieve a variety of beautiful hairstyles while caring for your hair. This line is developed to help you achieve naturally gorgeous, healthy-looking locks. About Suave For over 75 years Suave has offered professional quality products for the entire family, which are proven to work as well as salon brands. The Suave mission is to make gold standard quality attainable to all, so everyone can look good, smell good, and feel good every day. (Paul Mitchell and Instant Moisture are registered trademarks of John Paul Mitchell Systems).

"
77,"

Cleans and Refreshes without Overdrying.
Low Alcohol Formula. Dermatologist Tested. Contains Aloe and Witch Hazel.Benefits:





"
78,"Cooling gel revitalizes and moisturizes, minimizing the appearance of signs of aging around the eyes. Replenishes moisture, minimizing the look of fine lines and wrinkles Leaves skin around the eyes fresher and more radiant with a soothing cucumber extract, witch hazel and pro-vitamin B5 formula

"
79,"Maybelline

"
80,"This fragrance free makeup remover cleanses away any trace of even stubborn makeup. • Gentle makeup remover washes away mascara and eye makeup • Leaves no residue • Oil-free • Fragrance-free Step 1. Slightly moisten a cotton ball or tissue with makeup remover. Step 2. Lightly press cotton ball or tissue against closed eyelids for several seconds. Step 3. Gently wipe residue off. Step 4. Rinse eye area with water. Step 5. Wait five seconds, then wipe area with tissue.

"
81,"This advanced 100% oil-free formula keeps skin fresh, clean, and shine-free for hours. This lightweight powder glides on evenly for a smooth, flawless, and matte finish.

• Advanced 100% oil-free formula with a soft, matte finish • Lightweight powder glides on evenly • Won’t cause blemishes or overdry skin

Step 1. Touch puff to powder and shake gently to avoid excess powder.
Step 2. Apply puff lightly over face.

Step 3. Use puff to blend and whisk away any loose powder.Step 4. Wear alone or over makeup.

"
82,"Delivers up to 3x the volume instantly for the fastest, clump-free volume. Patented anti-clump brush and volume-building express formula quickly thicken lashes without clumps or globs. Ophthalmologist tested. Contact lens safe. Waterproof; also available in washable formula and curved brush.

"
