,description
20,"A standard on stages throughout the world for years, the Shure SM58 Dynamic Vocal Microphone offers a carefully tailored frequency rise at about 4,000 Hz for smooth as silk vocals that stand out in the mix. Long associated with its unmistakable sound and unsurpassed reliability, the Shure SM58 Dynamic Vocal Microphone is widely considered the most popular mic in the world. Designed for professional vocal use in sound reinforcement and studio recording, the Shure SM58 Dynamic Vocal Microphone utilizes a highly effective, built-in, spherical filter that minimizes wind and breath pop noise while the cardioid pickup pattern isolates the main sound source and minimizes unwanted background noise. The tailored vocal response on the SM58 is a legendary tone that has become a world standard. Shure SM58 Dynamic Vocal Microphone Features: Smooth, mid-frequency presence rise for world-famous SM58 Mic, sound Uniform cardioid pickup pattern isolates the main sound source, Minimizes background noise, Pneumatic shock-mount system cuts down handling noise, Rugged construction for extreme reliability in demanding applications, Effective, built-in spherical wind and pop filter, 50 to 15,000 Hz frequency response, Supplied with break-resistant stand, adapter which rotates 180 degrees, Legendary Shure quality, ruggedness, and reliability. Includes a mic stand adapter and a zippered storage pouch. Proximity Effect: When the sound source is less than 1/4 inch from the microphone, the microphone boosts bass frequencies (by 6 to 10 dB at 100 Hz), creating a warmer and richer bass sound than when farther away. This effect, known as proximity effect, happens only in unidirectional dynamic microphones like the Shure SM58 Vocal Mic. The low-frequency roll-off on the SM58 provides greater control, allowing the user to take full advantage of proximity effect.

Shure Cardioid Dynamics, XLR, Black, 4.90 x 3.30 x 10.30 (SM58S)

"
21,"PylePro Model : PPFMXLR15

This 15-foot, XLR microphone cable was designed with the professional in mind. Pyle cables deliver premium performance without noise, static or buzzing distortion.



"
22,"One of the industry's top suppliers of rack and audio accessories, Raxxess products are durable and affordable, offering attractive, elegant, and smart studio and live sound solutions. 10/32 x 3/4"" black oxide, Phillips truss-head screws with #10 nylon washers to prevent scratching equipment.

"
23,"The Shure BETA 58A is a high-output supercardioid dynamic vocal microphone designed for professional sound reinforcement and project studio recording. It has become a leading choice among vocalists and touring professionals worldwide. The BETA 58A maintains a true supercardioid pattern throughout its frequency range. The BETA 58A has a shaped frequency response that is ideal for close-up vocals. The superb performance of this microphone is not affected by rough handling because of its rugged construction, proven shock mount system, and hardened steel mesh grille.

Designed for professional sound reinforcement and project studio recording Shure Beta 58A high-output supercardioid dynamic vocal microphone is a great choice for vocalists and touring professionals. Maintaining a true supercardioid pattern throughout its frequency range, the Beta 58A insures high gain before feedback, maximum isolation from other sound sources, and minimum off-axis tone coloration. It has a shaped frequency response that is ideal for close-up vocals. And its rugged construction, proven shock mount system, and hardened steel mesh grille make it great for use on the stage.





"
24,"Features controls for speed and depth. A Hard/Soft switch gives you the trems from different '50s amps.

"
25,"A Kyser Quick-Change capo is expertly engineered and built to last. It is reliable and does just what it is designed to do - clearly raise the pitch of the 6-string acoustic guitar so you can play in a different key without retuning or changing fingering. Seasoned professionals and beginning players alike appreciate how the Kyser Quick-Change capo helps them transpose their guitar in seconds, with only one hand. The beauty of the Kyser Quick-Change capo is in its simplicity. Kyser pioneered this design and although often imitated, a Kyser is never equaled. There is no substitute for a genuine Kyser Quick-Change capo. Made by hand in Texas, USA. Guaranteed for life.

"
26,"A Kyser Quick-Change capo is expertly engineered and built to last. It is reliable and does just what it is designed to do - clearly raise the pitch of the 6-string acoustic guitar so you can play in a different key without retuning or changing fingering. Seasoned professionals and beginning players alike appreciate how the Kyser Quick-Change capo helps them transpose their guitar in seconds, with only one hand. The beauty of the Kyser Quick-Change capo is in its simplicity. Kyser pioneered this design and although often imitated, a Kyser is never equaled. There is no substitute for a genuine Kyser Quick-Change capo. Made by hand in Texas, USA. Guaranteed for life.

"
27,"Martin M170 80/20 Extra Light Acoustic Guitar Strings employ a composition alloy to give brilliance, clarity, and longevity of sound. The bronze winding is ideally suited for making strings that have deep, rich basses and clear, bright trebles.

"
28,"Martin Strings are high quality strings for daily use. Core and wrap wires must meet strict requirements in order to make the grade. Martin Strings are wound to precise specifications.

"
29,"Wedgie Pick Holder Single Packaged

"
30,"The Les Paul-100 from Epiphone incorporates all the major features of a Les Paul, but in a more affordable boltneck version. The carved-top Mahogany body has a Mahogany neck with Rosewood fingerboard and the body is actualloy a little thinner than LP Studio's or Standards for a lighter, comfortable feel. You will get great classic LP tone from a set of hot 700T and 650R open-coil Humbucker pickups, each with separate tone and volume controls. Plus, standard equipment on all of our electric guitar line, it comes with 500K Ohms potentiometers, our own heavy-duty 3-way pickup selector toggle switch and non-rotating heavy duty output jack. This guitar also features Chrome hardware including the Epiphone LockTone locking Tune-o-matic bridge and Stop-bar tailpiece for increased sustain to to give you an even better value.

"
31,"What's so special about the Epiphone Les Paul Special II Electric Guitar? The super-low price for starters and that's not all. It gives you all the essential elements of a Les Paul. Made with a mahogany body, bolt-on mahogany neck, smooth 22-fret rosewood fingerboard, this baby is every bit as handsome as its uptown cousins. Features 700T/650R open-coil humbucking pickups that deliver long, singing sustain and true Les Paul tones. The LockTone Tune-O-Matic bridge and stopbar tailpiece add more sustain and make string changing easier. Limited lifetime warranty.

"
32,"Planet Waves' Circuit Breaker; cables have a built-in mute switch to save your equipment from loud pops and squeals when you change guitars with a live amp or PA system. When the button is pushed, the cable shorts while remaining plugged into your guitar, making on-stage guitar changes a snap. Once the cable is shorted, remove the cable from the guitar being used and plug the cable into the next instrument. Simply press the button again to re-activate the cable signal.



Planet Waves Circuit Breaker cables feature an integrated mute switch that prevents loud pops or squeals when unplugging your instrument. Simply press the button to activate the mute function, and unplug. When you're plugged in and ready to go, press the switch again to reactivate sound. The 10-foot length is ideal for shorter runs, such as guitar-to-pedalboard, and smaller stages.

Planet Waves Circuit Breaker cables utilize ultra-pure, oxygen-free copper conductors for low capacitance and pure tone. Solderless plugs ensure a solid connection, and are easy to fix on the gig with a simple cutter and screwdriver. Two layers of shielding provide 100% coverage for superior insulation and noise rejection, making this the ultimate, high-performance cable.

Planet Waves cables are the ultimate musician's cable. Utilizing exclusive In=Out Technology for pure signal reproduction, Planet Waves cables are built tough to withstand gigs and come with a limited lifetime guarantee. Planet Waves is a part of the D'Addario and Co. family of brands, the global leader in musical accessories.



"
33,"The CH-1 Super chorus pedal delivers a clean classic chorus sound with crystal-clear highs and a unique stereo effect, variable between left and right speakers.

"
34,"The CS-3 Compression Sustainer pedal compresses louder signals while boosting lower signals, providing smooth sustain without degrading the original sound quality. This is the perfect pedal for guitarists and bassists who want to sound their best.

"
35,"Here it is. The 1 stompbox for legions of crunch-craving guitarists all over the planet. This DS-1 distortion pedal is a time-proven mainstay of rock and metal tone, no doubt about it. Three knobs make way for practically every rock sound you've ever heard. If you dig it loud and distorted, you've simply got to have a DS-1 in your rig. And that's that.

"
36,"The MT-2 metal zone is one of BOSS' Most popular pedals. This stompbox provides some of the most over-the-top, insane distortion tones in the world—with huge mids and lows and an ultra-saturated sound.

"
37,"The OS-2 gives players a choice of overdrive or distortion, or lets them combine both - all in a single compact pedal. Its distortion maintains the subtle nuances of single-coil guitar pickups.

"
38,"Legendary BOSS overdrive pedal with genre-defining sound and feel. Since its release in 1981, the workhorse SD-1 Super Overdrive has been the core gain pedal for generations of players across every musical genre. Based around the revolutionary asymmetrical clipping circuit from the OD-1 Overdrive—one of the three original BOSS compact pedals from 1977—the SD-1 delivers rich, smooth, and highly musical overdrive tones that continue to inspire guitarists everywhere.

"
39,"The BOSS TR-2 tremolo is designed to provide guitarists with classic tremolo effects in an easy-to-use compact pedal. Dedicated ""wave, "" ""rate, "" and ""depth"" Knobs provide a multitude of effect possibilities.

The BOSS TR-2 Tremolo is designed to provide guitarists with classic tremolo effects in an easy-to-use compact pedal. Dedicated ""Wave,"" ""Rate,"" and ""Depth"" knobs provide a multitude of effect possibilities.

Features



"
40,"Danelectro's Zero Hum circuitry kills line noise that otherwise ends up coming out of your amp. Superior performance for all effects. For use with all pedals that require 9 Volts.

"
41,"The Cry Baby Wah is the most iconic guitar effect in music history. When it hit the scene in 1966, it added a whole new layer of expression to the electric guitar—players such as Jimi Hendrix and Eric Clapton used the Cry Baby Wah to create some of the most timeless sounds in rock. The GCB95 is a modern interpretation of that sound, featuring the lush, expressive character of the legendary red Fasel inductor with a more focused high end and a more aggressive and accentuated wah sound. With a heavy-duty die-cast housing and a Hot Potz Potentiometer tested to one million cycles, the Cry Baby Wah will withstand years of playing.

When people talk about wah pedals, they're talking about the Crybaby. This is the original--the one that created some of the most timeless sounds in rock.

The original. Click to enlarge.

Power the CRYBABY with a 9-volt battery or optional adapter.

The Original Wah
The CRYBABY has been a standard in the world of music since its introduction in the late 1960's. Its rugged construction and efficient design have graced the foot of Jimi Hendrix, Eric Clapton, Buddy Guy, David Gilmour, and many other guitar greats.

Wah Versatility
By rocking your foot back and forth on the pedal, you can change the effect that the CRYBABY has on the tone of your instrument instantaneously. Toe down will give you more treble, heel down will give you more bass. The speed and amount of effect you use depends on your style of playing.

When placing the pedal in one position, you will hear a boost in that particular frequency. This boost can be used to add sustain and create feedback of a desired overtone.

Solid Construction
The CRYBABY features a heavy, die-cast construction, for a road-ready wah pedal that'll provide years of reliability.

Hot Potz Potentiometer
The original CRYBABY boasts a 100K ohm Hot Potz potentiometer, built to last and providing you with a quick, abrupt wah sound.

Powering Options
Power the CRYBABY with a 9-volt battery, or grab an optional Dunlop ECB-003 AC Adapter for powering via outlet.

One-Year Warranty
Dunlop provides extra peace of mind by offering a one-year warranty from date of purchase.

What's in the Box
Dunlop Original Crybaby Wah, User's Manual

"
42,"With more strings, you need more tension and a larger body than the original Kyser Quick-Change capo. This Kyser Quick-Change capo is specifically designed for your 12-string guitar and is built to last. It is reliable and does just what it is designed to do — clearly raise the pitch of the 12-string guitar so you can play in a different key without retuning or changing fingering. Seasoned professionals and beginning players alike appreciate how the Kyser Quick-Change capo helps them transpose their 12-string guitar in seconds, with only one hand. The beauty of the Kyser Quick-Change capo is in its simplicity. Kyser pioneered this design and although often imitated, a Kyser is never equaled. There is no substitute for a genuine Kyser Quick-Change capo. Made by hand in Texas, USA. Guaranteed for life.

"
43,"This Kyser Quick-Change capo is specifically made for the necks of smaller instruments like banjos, ukuleles, and mandolins. With a much smaller body, no radius, and lighter spring tension than the original Kyser Quick-Change capo, it’s the perfect fit for the neck of your banjo, ukulele, and mandolin. This Kyser Quick-Change capo is expertly engineered and built to last. It is reliable and does just what it is designed to do — clearly raise the pitch of your banjo, ukulele, and mandolin so you can play in a different key without retuning or changing fingering. Seasoned professionals and beginning players alike appreciate how the Kyser Quick-Change capo helps them transpose their instrument in seconds, with only one hand. The beauty of the Kyser Quick-Change is in its simplicity. Kyser pioneered this design and although often imitated, a Kyser is never equaled. There is no substitute for a genuine Kyser Quick-Change capo. Made by hand in Texas, USA. Guaranteed for life.

"
44,"

The choice of pros, Dunlop's STRAPLOK system is the most trusted strap retainer system all over the world. Safely and easily secures your guitar or bass to your strap so you don't have to worry about losing your instrument. Each pack contains one pair of strap retainers and directions for easy installation.

Located in Benicia, California, Dunlop Manufacturing, Inc. was founded as a small, family-owned and operated company in 1965, and has since grown to be a leading manufacturer of electronic effects, picks, capos, slides, strings and other musical instrument accessories. Dunlop is the home of such legendary products as the Crybaby wah and Tortex picks.



"
45,"Martin's Ukulele Strings provide an easy playing feel, excellent tuning stability, and a consistent, clear tone. Made from clear fluorocarbon, these strings are light enough to strum and pick easily but strong enough to hold tunings. Designed to produce a warm, mellow tone, these concert-gauge strings provide excellent tuning stability and playability so your ukulele can stand up to rigorous practice and performance schedules. This pack of professional-grade strings will last through long sing-alongs, late-night practice sessions, and plenty of performances. It's an ultra-reliable set of strings that you can take on tour or keep in the studio. Whether you're a beginner or professional musician, this set of ukulele strings will help you play to your potential. Lead a sing-along around the campfire or provide the background music while the sun sets at the beach. With these ukulele strings, you'll be able to play to your heart's content.

With this pack, you'll receive 4 soprano-gauge ukulele strings designed for optimal playing performance. The A string measures 0.0191"", the E string measures 0.0251"", the C string measures 0.0340"", and the G string measures 0.0220"". This total set of ukulele strings features a tension of 35.4, making it easy to get a warm, mellow tone with an ultra-flexible feel.

Martin Guitar has been producing high-quality, musician-choice instruments and accessories since 1833. The Martin Fluorocarbon Ukulele Strings are the real deal—not an imitation. Discover your instrument's true voice with this professional-grade string pack.

"
46,"Mpf-6

"
47,"This is the Original Braided Guitar Cable. The Braided Cable that started it all !!! Our cables are the ultimate in braided cable design, providing maximum flexibility and durability, extended frequency response, extremely low handling noise in a seemingly endless variety of color and pattern combinations.Expect the best and except no substitute. Proudly made in the USA.

"
48,"With the Micro Cube, guitarists get a genuine Roland Cube amp in an ultra-compact package that even runs on batteries. Weighing in at just a few pounds, the Micro Cube packs a big punch and comes with six DSP effects, COSM Amp Modeling and a new Digital Tuning Fork-giving guitarists everything they need for killer tone on the go.

"
49,
50,"This black, Tolex Epiphone Les Paul Hardshell Case is just what you need to protect your Les Paul guitar from the rigors of the road. The plush-lined, hardshell case serves as a shock absorber with an inner compartment to hold extra strings, straps, picks, slides, etc.

"
51,"Gigbag Epiphone Solidbody Electric

"
52,"BOSS offers two types of sturdy metal footswitches for different applications. The FS-5U (silver) is a momentary ""unlatch""-type footswitch, and the FS-5L (black) is a latch-type footswitch with an LED to indicate status. Both footswitches can be connected using ordinary guitar cables. Please consult your owner's manual for compatibility.

"
53,"The DR-100 features a Select Spruce top; Mahogany back and sides; and Rosewood fingerboard and bridge.

"
54,"Dunlop Ultra picks were designed to replicate the old-fashioned feel and sound of real tortoiseshell picks. Choose. 60mm,. 73mm, 1. 0mm, or 1. 14mm. Designed to feel and sound like old-fashioned real tortoiseshell picks, they have unmatched durability and response.

"
55,"Restore your wood, and keep it looking new with Martin guitar polish. Made especially for acoustic guitar wood.

"
56,"Toggle between warm acoustic tones and shimmering highs with an easily accessible Bright Switch. For unequalled sound quality, and ease of use it's hard to beat the performance of the Rare Earth pickups. Cutting-edge neodymium magnets provide excellent string-to-string balance while the pickup's active electronics keep the sound pure and clean. Easy installation with no alteration!

"
